company_name,company_number,website_url,website_match,search_minutes
CAVA DOMESTIC LIMITED,16083901,,,5
RAB CATERING LIMITED,16954777,,,4
RR HOLDINGS LIMITED,05286946,,,3
VEER NEWSAGENTS LIMITED,11066048,,,3
PLEDGE BEAUTY LTD,16447472,,,3
AYLSHAM CAPITAL LTD,12945885,,,3
BARSELONA LIMITED,05615945,,,3
SR HOLDINGS LIMITED,11336054,,,3
PARAGON CAFE LTD,NI733039,,,2
H V CONSTRUCTION SERVICES LIMITED,FC019295,,,3
NORTHERN TURBINE SERVICES LIMITED,SC510079,https://www.northernturbineservices.co.uk/,PROBABLE,1
ASACOLLECTIVE LTD,16882946,,,3
FRANK KELBIE LIMITED,SC133320,https://www.frankkelbie.com/,PROBABLE,2
FAMILY HOME IMPROVEMENTS LTD,15460108,https://www.firstclasswindowsanddoors.co.uk/,CONFIRMED,2
GREATER UPKEEP LIMITED,16788444,https://greaterupkeep.com/,PROBABLE,3
FUSED ELECTRICS LTD,14946172,https://eicrlondon.uk/,PROBABLE,1
ELEY & WESLEY LIMITED,00791200,,,3
ARTECO LIMITED,08008180,,,3
SPILL MIDCO 2 LIMITED,14419544,,,3
BROUGHTON COMMUNITY ENERGY LIMITED,RS009540,https://www.broughtoncommunityenergy.org/,UNCONFIRMED,6
EVORA CONSULTING LTD,15394285,,,3
SCF HOLDINGS (SCOTLAND) LIMITED,SC853165,,,3
NEW LEAFE SPORTS & SOCIAL GROUP LTD,17063048,,,3
BLACKWELLS CHIPPERFIELD LIMITED,06902662,,,3
BOURBON RETAIL LIMITED,13690677,,,3
S. BATTEN LTD,05423357,,,3
JC CONSTRUCTION AND SECURITY LTD,16153535,https://www.jck9security.co.uk/,CONFIRMED,1
AVC TECH LIMITED,07300392,,,3
THAC CONSULTING LIMITED,14483638,,,3
CRAFTED COFFEE ST IVES LTD,13196407,,,3
SCIENTIFIC AND INNOVATIVE DESIGN LIMITED,06966843,,,3
PRESTIGE GLAZING LTD,13557258,https://www.prestigeglazing.co.uk/,CONFIRMED,2
GRESLEY HOUSE CARE LIMITED,09243079,https://www.gresleyhouse.co.uk/,UNCONFIRMED,5
GANJAM PROPERTIES LIMITED,14165129,,,3
BMS LOGISTICS LTD,11287446,,,3
BUILT CLEAR LTD,16663324,,,3
OAK VALLEY GROUP LTD,10183448,,,3
LOWKEY SECURITY SOLUTIONS LTD,13227180,,,3
ROBERT GLOVER ASSOCIATES LIMITED,08388589,https://robglover.net/contact-us/,CONFIRMED,5
BLUE NOBLE GP II (JERSEY) LIMITED,OE015815,https://www.bluenoble.co.uk/people,UNCONFIRMED,3
FOODLE CAFE LTD,14824665,,,3
NIGEL DAVIES LIMITED,04510236,https://www.nigel-davies.co.uk/,PROBABLE,3
EDS CONSTRUCT LTD,13093635,https://edsconstruct.co.uk/,UNCONFIRMED,3
BABYFAIR LTD,13517670,https://baby-fair.co.uk/,CONFIRMED,1
LAKESHORE NEXUS LTD,16867063,,,3
DELTACROWN INVESTMENTS LIMITED,02058505,,,3
MAX PERI PERI LTD,17199960,,,3
BRIDGE LOCUM STAFFING LTD,16633153,,,3
CLEAR ERP CONSULTING LTD,12982629,,,3
WOODPATH SERVICES LTD,07183737,,,3
